a52dec 0.7.4-9
glib2 2.52.2+1+gb8bd46bc8-1
glibc 2.25-2
glibmm 2.51.7-1
glu 9.0.0-4
gmime 2.6.23+4+g91dcee38-1
gmp 6.1.2-1
gmpc 11.8.16-4
gnome-autoar 0.2.2-1
gnome-bluetooth 3.20.1+1+ge902d1a-1
gnome-color-manager 3.24.0+4+ge78025a-1
gnome-control-center 3.24.2-1
gnome-desktop 1:3.24.2-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-menus 3.13.3+27+g69656ff-1
gnome-online-accounts 3.24.1-1
gnome-session 3.24.1-1
gnome-settings-daemon 3.24.2-1
gnome-shell 3.24.2-1
gnome-themes-standard 3.22.3-1
gnome-video-effects 0.4.3-1
gnupg 2.1.21-2
gnutls 3.5.13-1
gobject-introspection-runtime 1.52.1-1
google-chrome 57.0.2987.133-1
gpgme 1.9.0-3
gpm 1.20.7-7
graphene 1.6.0-1
graphite 1:1.3.10-1
grep 3.0-1
grilo 0.3.3+3+g3104a34-1
groff 1.22.3-7
grub 2:2.02-1
gsettings-desktop-schemas 3.24.0-1
gsfonts 20160531-3
gsm 1.0.16-1
gspell 1.4.1-1
gst-plugins-bad 1.12.0-1
gst-plugins-base 1.12.0-1
gst-plugins-base-libs 1.12.0-1
gst-plugins-good 1.12.0-1
gstreamer 1.12.0-1
gtk-engine-murrine 0.98.2-2
gtk-theme-arc-git 659.766ae1a-1
gtk-theme-numix-solarized 20160919-2
gtk-update-icon-cache 3.22.15-1
gtk2 2.24.31-1
gtk3 3.22.15-1
gtk3-print-backends 3.22.15-1
gtkglext 1.2.0-10
gtkmm 2.24.5-2
gtkmm3 3.22.0-2
gtksourceview3 3.24.2-1
guile 2.2.2-1
guile2.0 2.0.14-1
gvfs 1.32.1-1
gvim 8.0.0628-1
gzip 1.8-2
harfbuzz 1.4.6-1
harfbuzz-icu 1.4.6-1
hdf5 1.10.0_patch1-1
hicolor-icon-theme 0.15-1
hspell 1.3-1
http-parser 2.7.1-1
hunspell 1.6.1-1
hwids 20170328-1
hyphen 2.8.8-1
i3-wm 4.13-1
i3blocks 1.4-4
i3lock-blur 2.9-1
i3status 2.11-2
iana-etc 20170512-1
icu 59.1-1
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 6.9.8.9-1
imlib2 1.4.10-1
imwheel 1.0.0pre12-5
inetutils 1.9.4-5
inputproto 2.3.2-1
intel-tbb 2017_20170604-1
intel-ucode 20170511-1
iproute2 4.11.0-1
iptables 1.6.1-1
iputils 20161105.1f2bb12-2
iso-codes 3.74-1
jack 0.125.0-3
jansson 2.10-1
jasper 2.0.13-1
java-environment-common 2-2
java-runtime-common 2-2
jbig2dec 0.13-1
jdk8-openjdk 8.u121-1
jfsutils 1.1.15-4
jre8-openjdk 8.u121-1
jre8-openjdk-headless 8.u121-1
js 24.2.0-4
js38 38.8.0-3
json-glib 1.2.8-1
jsoncpp 1.8.0-1
karchive 5.34.0-1
kauth 5.34.0-1
kbd 2.0.4-1
kbookmarks 5.34.0-1
kbproto 1.0.7-1
kcodecs 5.34.0-1
kcompletion 5.34.0-1
kconfig 5.34.0-1
kconfigwidgets 5.34.0-1
kcoreaddons 5.34.0-1
kcrash 5.34.0-1
kdbusaddons 5.34.0-1
keyutils 1.5.10-1
kglobalaccel 5.34.0-1
kguiaddons 5.34.0-1
ki18n 5.34.0-1
kiconthemes 5.34.0-1
kinit 5.34.0-1
kio 5.34.0-1
kitemviews 5.34.0-1
kjobwidgets 5.34.0-1
kmod 24-1
knotifications 5.34.0-1
krb5 1.15.1-1
kservice 5.34.0-1
ktextwidgets 5.34.0-1
kwallet 5.34.0-1
kwidgetsaddons 5.34.0-1
kwindowsystem 5.34.0-1
kxmlgui 5.34.0-1
ladspa 1.13-6
lame 3.99.5-3
lcms 1.19-5
lcms2 2.8-2
ldb 1.1.29-1
ldns 1.7.0-3
less 487-1
lib32-acl 2.2.52-2
lib32-alsa-lib 1.1.4.1-1
lib32-alsa-plugins 1.1.4-1
lib32-atk 2.24.0+4+gbf71ccc-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-cairo 1.14.6-2
lib32-cracklib 2.9.6-1
lib32-curl 7.54.0-1
lib32-dbus 1.10.18-1
lib32-dbus-glib 0.108-1
lib32-e2fsprogs 1.43.4-1
lib32-expat 2.2.0-1
lib32-flac 1.3.2-1
lib32-fontconfig 2.12.3-1
lib32-freeglut 3.0.0-1
lib32-freetype2 2.8-2
lib32-gcc-libs 7.1.1-3
lib32-gconf 3.2.6-2
lib32-gdk-pixbuf2 2.36.2-2
lib32-gettext 0.19.8.1-1
lib32-giflib 5.1.4-1
lib32-glew1.10 1.10.0-2
lib32-glib2 2.50.1-2
lib32-glibc 2.25-3
lib32-glu 9.0.0-3
lib32-gmp 6.1.1-1
lib32-gnutls 3.4.15-1
lib32-gtk2 2.24.31-1
lib32-harfbuzz 1.4.1-2
lib32-icu 59.1-1
lib32-imlib2 1.4.9-1
lib32-keyutils 1.5.9-1
lib32-krb5 1.15.1-1
lib32-lcms2 2.8-1
lib32-libappindicator-gtk2 12.10.0-9
lib32-libasyncns 0.8+3+g68cd5af-1
lib32-libcaca 0.99.beta19-1
lib32-libcanberra 0.30-4
lib32-libcap 2.25-1
lib32-libcups 2.2.1-1
lib32-libcurl-compat 7.54.0-1
lib32-libcurl-gnutls 7.54.0-1
lib32-libdatrie 0.2.10-1
lib32-libdbusmenu-glib 16.04.0-2
lib32-libdbusmenu-gtk2 16.04.0-2
lib32-libdrm 2.4.81-1
lib32-libelf 0.168-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.7.3-1
lib32-libgcrypt15 1.5.6-4
lib32-libglvnd 0.2.999+g4ba53457-2
lib32-libgpg-error 1.24-1
lib32-libgudev 231-1
lib32-libice 1.0.9-1
lib32-libid3tag 0.15.1b-1
lib32-libidn 1.33-1
lib32-libindicator-gtk2 12.10.1-6
lib32-libjpeg-turbo 1.5.1-1
lib32-libjpeg6-turbo 1.5.1-1
lib32-libldap 2.4.44-2
lib32-libltdl 2.4.6-4
lib32-libmikmod 3.3.10-1
lib32-libmodplug 0.8.8.5-6
lib32-libnl 3.2.29-1
lib32-libnm-glib 1.8.0-1
lib32-libogg 1.3.2-1
lib32-libpcap 1.8.1-1
lib32-libpciaccess 0.13.5-1
lib32-libpng 1.6.29-1
lib32-libpng12 1.2.57-1
lib32-libpsl 0.17.0-2
lib32-libpulse 10.0-1
lib32-librtmp0 2.4-1
lib32-libsm 1.2.2-1
lib32-libsndfile 1.0.28-1
lib32-libssh2 1.8.0-2
lib32-libtasn1 4.10-1
lib32-libthai 0.1.26-1
lib32-libtheora 1.1.1-10
lib32-libtiff 4.0.7-1
lib32-libtiff4 3.9.7-1
lib32-libtirpc 1.0.1-2
lib32-libtxc_dxtn 1.0.1-5
lib32-libudev0-shim 1-3
lib32-libusb 1.0.21-1
lib32-libva 1.8.1-1
lib32-libvorbis 1.3.5-1
lib32-libvpx1.3 1.3.0-1
lib32-libwebp 0.6.0-1
lib32-libwrap 7.6.24-2
lib32-libx11 1.6.5-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.12-2
lib32-libxcomposite 0.4.4-2
lib32-libxcursor 1.1.14-1
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.3-1
lib32-libxft 2.3.2-1
lib32-libxi 1.7.7-2
lib32-libxinerama 1.1.3-1
lib32-libxml2 2.9.3-1
lib32-libxmu 1.1.2-1
lib32-libxrandr 1.5.1-1
lib32-libxrender 0.9.10-1
lib32-libxshmfence 1.2-1
lib32-libxss 1.2.2-2
lib32-libxt 1.1.5-1
lib32-libxtst 1.2.3-1
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 4.0.0-1
lib32-lm_sensors 3.4.0-1
lib32-mesa 17.1.1-1
lib32-ncurses 6.0-2
lib32-nettle 3.3-1
lib32-nspr 4.14-1
lib32-nss 3.30.2-1
lib32-nvidia-utils 381.22-1
lib32-openal 1.18.0-1
lib32-openssl 1:1.1.0.f-1
lib32-openssl-1.0 1.0.2.l-2
lib32-p11-kit 0.23.5-1
lib32-pam 1.3.0-1
lib32-pango 1.40.3-1
lib32-pcre 8.39-1
lib32-pixman 0.34.0-1
lib32-polkit 0.113+29+g3272a98-1
lib32-readline 7.0-1
lib32-sdl 1.2.15-6
lib32-sdl2 2.0.5-2
lib32-sdl2_image 2.0.1-2
lib32-sdl2_mixer 2.0.1-1
lib32-sdl2_ttf 2.0.14-2
lib32-sdl_image 1.2.12-3
lib32-sdl_mixer 1.2.12-2
lib32-sdl_ttf 2.0.11-3
lib32-smpeg 0.4.5-2
lib32-smpeg2 2.0.0-2
lib32-sqlite 3.18.0-1
lib32-systemd 232-1
lib32-tdb 1.3.11-1
lib32-util-linux 2.29.2-1
lib32-wayland 1.13.0-1
lib32-xz 5.2.3-1
lib32-zlib 1.2.11-1
libaio 0.3.110-1
libao 1.2.2-1
libappindicator-gtk2 12.10.0-12
libarchive 3.3.1-5
libass 0.13.7-1
libassuan 2.4.3-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-3
libatomic_ops 7.4.6-1
libavc1394 0.5.4-2
libbluray 1.0.0-1
libbsd 0.8.3-2
libcaca 0.99.beta19-1
libcanberra 0.30+2+gc0620e4-1
libcanberra-pulse 0.30+2+gc0620e4-1
libcap 2.25-1
libcap-ng 0.7.8-1
libcddb 1.3.2-4
libcdio 0.94-2
libcdio-paranoia 10.2+0.94+1-2
libcroco 0.6.12+4+g9ad7287-1
